,Revenue,Gross Margin,Operating Margin,Gross Profit,Operating Profit,Net Income,EPS,PE Ratio,Discounted Cash Flow
107,1629.59,0.2,0.1,342.42,127.91,29.04,0.25,29.45,51.87691783437269
108,1602.1,0.2,0.05,312.87,18.16,12.77,0.11,30.01,26.08315858680581
109,1650.48,0.16,0.03,302.96,50.01,12.17,0.11,29.93,28.54399718302263
110,1588.81,0.16,0.08,257.12,99.78,21.04,0.18,29.65,39.825301778853195
111,1622.86,0.26,0.12,371.92,182.31,37.84,0.33,30.18,80.46940418234489
112,1661.83,0.2,0.05,337.53,89.08,21.59,0.19,30.08,37.100871507921894
113,1692.7,0.18,0.11,287.64,175.57,35.54,0.31,29.54,70.75684741270868
114,1665.24,0.18,0.07,263.35,112.2,25.04,0.22,29.55,44.9101030487978
115,1678.25,0.21,0.07,379.57,92.72,26.23,0.23,30.01,44.41203161670552
116,1680.91,0.23,0.12,333.33,188.52,39.97,0.35,29.46,73.23425208272516
117,1598.65,0.21,0.11,256.5,84.56,25.73,0.22,29.58,47.669110436023985
118,1687.94,0.18,0.11,248.65,176.17,35.23,0.3,30.01,76.79223540780528
119,1699.27,0.2,0.03,293.3,38.58,17.83,0.15,29.58,41.0225424867273
120,1588.28,0.22,0.13,297.97,227.68,46.46,0.4,29.22,93.91166169331902
121,1665.89,0.22,0.13,365.57,248.04,49.89,0.43,29.67,110.42955514045157
122,1647.97,0.24,0.1,315.47,245.51,51.76,0.45,29.69,112.95764627107482
123,1686.47,0.24,0.2,426.1,382.26,76.74,0.66,29.91,160.7703216823586
124,1600.35,0.2,0.07,336.02,86.21,22.1,0.19,29.53,40.4576943067733
125,1624.61,0.23,0.13,355.71,204.56,40.91,0.35,29.91,85.60398741554866
126,1706.03,0.22,0.09,378.39,143.68,28.74,0.25,29.87,59.429477551970066
127,1647.53,0.24,0.12,407.29,242.09,48.42,0.42,29.78,101.8293960617585
128,1488.21,0.2,0.12,312.01,198.54,40.42,0.35,29.9,88.26899971637006
129,1587.01,0.16,0.15,234.75,242.25,49.66,0.43,30.21,111.237878955322
130,1717.77,0.19,0.1,325.24,171.1,34.32,0.3,29.74,65.72966586705158
131,1734.35,0.21,0.11,331.21,241.2,49.61,0.43,30.32,105.56827392728039
132,1583.29,0.18,0.12,197.31,138.39,32.73,0.28,31.0,74.34468879421472
133,1604.96,0.27,0.08,396.75,177.35,37.44,0.32,30.35,77.9878009188289
134,1618.87,0.16,0.15,267.3,220.76,44.15,0.38,30.06,82.23009125153087
135,1609.38,0.18,0.08,271.37,64.89,21.87,0.19,29.73,49.78277483911443
136,1573.82,0.19,0.09,289.47,137.69,31.87,0.28,30.45,67.30046298734173
137,1721.46,0.22,0.15,376.63,201.72,40.34,0.35,30.05,83.38551345504868
138,1586.0,0.19,0.15,331.64,174.29,40.39,0.35,30.13,72.04702934424597
139,1585.13,0.17,0.06,227.22,85.9,17.4,0.15,30.18,36.03128695054127
140,1630.2,0.22,0.12,320.75,246.65,49.33,0.43,30.41,97.80452020249757
141,1757.12,0.19,0.14,303.9,170.31,34.06,0.29,30.32,80.13575004293095
142,1582.97,0.2,0.15,343.46,262.79,52.56,0.45,29.67,106.83023668651347
143,1651.72,0.2,0.06,262.64,122.39,25.24,0.22,29.74,53.684122191215295
144,1670.39,0.24,0.1,420.23,167.36,33.71,0.29,30.22,80.61852133637467
145,1500.7,0.16,0.08,245.2,143.5,30.91,0.27,30.22,63.4250514881527
146,1638.42,0.21,0.15,426.03,250.76,50.15,0.43,30.33,97.75882742310336
147,1685.41,0.24,0.07,377.66,129.24,26.67,0.23,29.87,54.87718139811925
148,1574.98,0.17,0.17,283.25,293.48,58.7,0.51,29.65,115.95501997929436
149,1561.34,0.19,0.11,284.16,200.37,40.07,0.35,29.97,78.36400891442709
150,1669.09,0.2,0.09,359.14,158.48,34.09,0.29,30.05,65.67543692539448
151,1596.85,0.18,0.09,287.61,124.38,29.54,0.26,29.99,62.8335798163138
152,1582.8,0.18,0.09,245.39,138.99,29.94,0.26,30.01,61.08592987062035
153,1563.02,0.24,0.08,399.92,158.33,31.9,0.28,29.96,58.62290890003731
154,1713.78,0.21,0.07,362.65,86.25,33.48,0.29,30.28,87.55666658638768
155,1601.43,0.18,0.1,294.06,126.4,25.28,0.22,29.64,54.143339032660215
156,1599.25,0.19,0.09,317.47,177.85,37.19,0.32,30.29,81.71345180618192
157,1564.04,0.25,0.1,428.34,118.68,27.36,0.24,30.25,58.37276644538304
158,1489.6,0.17,0.08,256.8,57.95,18.82,0.16,29.73,40.780240827610626
159,1637.7,0.21,0.08,375.56,49.08,22.13,0.19,29.93,41.6373429597121
160,1613.84,0.19,0.12,289.2,184.33,36.87,0.32,30.2,81.09247076538318
161,1722.36,0.21,0.13,279.46,249.24,51.56,0.45,30.06,107.3520761119602
162,1652.62,0.21,0.08,406.08,124.59,25.13,0.22,29.99,44.563134662313125
163,1614.06,0.19,0.08,413.55,105.29,21.73,0.19,29.81,47.61162988883069
164,1462.35,0.17,0.14,282.87,236.81,47.36,0.41,29.86,96.7738330754933
165,1617.07,0.2,0.02,300.99,62.82,19.41,0.17,30.13,37.84641489606125
166,1609.96,0.22,0.05,358.06,92.58,19.18,0.17,30.37,38.1595135038946
167,1605.82,0.18,0.08,256.57,124.97,25.21,0.22,30.22,50.620576858525986
168,1659.16,0.23,0.13,450.0,244.59,48.92,0.42,30.22,94.82211378645539
169,1530.6,0.18,0.09,222.74,157.53,33.86,0.29,29.68,70.35650033160036
170,1613.8,0.19,0.08,319.42,144.7,30.66,0.26,30.36,59.9635163706407
171,1563.46,0.2,0.09,284.35,148.62,31.06,0.27,29.92,59.18907945850239
172,1648.63,0.2,0.12,343.94,153.99,32.21,0.28,29.32,58.204126355787494
173,1487.07,0.15,0.03,248.23,7.03,8.51,0.07,29.71,17.388797264827318
174,1563.72,0.15,0.12,287.83,127.42,33.87,0.29,29.53,61.446475821954216
175,1558.43,0.21,0.1,367.59,135.69,28.89,0.25,30.15,61.85863846508627
176,1570.2,0.19,0.11,262.65,178.27,35.94,0.31,29.99,78.88050113989331
177,1509.75,0.23,0.13,356.08,177.03,35.41,0.31,30.25,71.4401134578412
178,1596.52,0.22,0.12,384.39,166.83,33.77,0.29,29.89,62.3316486660813
179,1672.36,0.19,0.06,309.28,107.15,25.78,0.22,29.81,49.30562623117099
180,1725.88,0.17,0.11,320.25,202.8,40.56,0.35,29.85,87.82428631601283
181,1615.17,0.23,0.12,397.06,164.43,32.89,0.28,30.2,63.561178523851886
182,1655.58,0.2,0.09,347.65,105.25,32.1,0.28,30.02,57.057365881353086
183,1644.81,0.19,0.1,337.77,134.98,30.5,0.26,29.81,53.81049821407022
184,1657.3,0.19,0.08,317.75,153.36,32.98,0.28,29.99,69.05110646134179
185,1526.09,0.22,0.07,285.73,160.7,33.9,0.29,29.98,74.4340364182345
186,1568.25,0.23,0.11,396.02,201.99,43.62,0.38,30.72,89.41127197446221
187,1637.75,0.11,0.09,169.2,181.7,36.34,0.31,29.85,80.69177188707289
188,1520.76,0.22,0.06,350.91,122.85,29.6,0.26,29.96,69.59961114565426
189,1664.46,0.22,-0.01,424.82,22.65,14.85,0.13,29.82,26.90021585708515
190,1606.68,0.16,0.07,268.73,137.33,30.74,0.27,30.25,66.7433431431109
191,1618.93,0.16,0.09,287.25,180.13,38.49,0.33,30.04,91.28911363314539
192,1605.25,0.19,0.11,389.65,217.15,44.21,0.38,29.79,83.64920673952398
193,1508.44,0.2,0.09,338.13,137.85,27.78,0.24,30.17,46.95160807336466
194,1713.22,0.21,0.12,373.52,281.65,56.33,0.49,30.29,119.80920492248454
195,1534.5,0.17,0.06,270.58,90.43,20.41,0.18,30.35,41.41550840008749
196,1556.03,0.28,0.09,428.96,194.11,40.73,0.35,29.61,65.65381425587422
197,1604.16,0.18,0.16,234.5,196.36,39.27,0.34,29.8,79.49081532570318
198,1538.67,0.21,0.1,314.97,138.93,27.79,0.24,30.04,51.67892002205322
199,1609.52,0.22,0.08,325.59,130.4,33.74,0.29,29.8,71.37608134084651
200,1629.55,0.2,0.1,343.18,163.13,32.63,0.28,29.45,66.77211321214995
201,1621.89,0.21,0.11,353.2,191.53,39.4,0.34,29.93,91.30062900812
202,1718.42,0.21,0.04,408.94,120.51,29.42,0.25,29.72,57.44107435507742
203,1596.51,0.22,0.11,291.8,205.84,43.46,0.38,29.86,91.38081037645159
204,1576.56,0.21,0.06,290.78,81.46,18.68,0.16,30.29,38.62606310319925
205,1616.73,0.23,0.09,415.15,128.27,25.8,0.22,30.23,54.380241314667806
206,1627.89,0.19,0.14,288.92,259.45,51.89,0.45,29.82,110.71049452933529
207,1680.54,0.22,0.05,282.18,120.68,26.27,0.23,30.02,53.76733325632132
208,1508.68,0.22,0.08,315.8,91.62,18.94,0.16,29.63,40.32831053218241
209,1648.67,0.17,0.13,316.37,192.79,39.38,0.34,29.87,68.96635736383875
210,1649.51,0.22,0.11,354.42,133.1,27.29,0.24,29.18,55.20260213840299
211,1572.66,0.13,0.16,220.41,242.01,48.4,0.42,30.61,97.7281368811132
212,1527.56,0.17,0.09,260.18,178.34,42.07,0.36,30.08,92.5274791667182
213,1483.21,0.19,0.08,321.25,121.71,24.73,0.21,30.34,45.80871012208094
214,1598.44,0.16,0.1,259.29,147.9,30.43,0.26,30.37,63.99394321036755
215,1681.15,0.19,0.11,342.14,181.09,36.29,0.31,30.1,71.28937609908263
216,1630.07,0.25,0.1,400.93,107.48,21.5,0.19,29.99,42.92729471586321
217,1588.19,0.26,0.06,382.42,135.98,29.64,0.26,30.07,49.16735877482445
218,1654.84,0.17,0.07,270.9,178.55,41.99,0.36,30.15,99.54089934112207
219,1610.06,0.21,0.12,337.33,186.54,38.77,0.34,30.1,80.94171066714419
220,1623.12,0.22,0.08,306.86,127.43,26.26,0.23,29.64,51.340369521228034
221,1483.71,0.17,0.05,298.04,44.46,14.74,0.13,30.23,27.642315413285914
222,1576.5,0.22,0.07,339.03,111.58,24.56,0.21,29.57,50.276690512895684
223,1648.78,0.13,0.09,222.39,159.79,33.33,0.29,30.27,64.6340091618109
224,1593.23,0.24,0.13,320.67,221.05,44.56,0.39,29.99,92.88395252912227
225,1637.43,0.19,0.06,327.2,116.01,26.41,0.23,29.66,45.34480447769613
226,1510.75,0.22,0.04,322.36,69.71,17.88,0.15,30.06,38.36023328791919
227,1685.72,0.21,0.15,308.69,230.43,46.09,0.4,29.51,93.15166955108279
228,1589.15,0.23,0.17,332.33,295.28,59.06,0.51,30.11,114.35214082201877
229,1637.87,0.2,0.14,295.74,232.26,46.45,0.4,29.88,96.21815377756727
230,1620.24,0.19,0.13,319.21,177.11,36.32,0.31,30.21,68.05324440649589
231,1686.04,0.18,0.09,347.88,159.36,32.44,0.28,29.98,57.21819537762396
232,1585.46,0.2,0.15,345.65,204.86,40.97,0.35,30.1,80.54928641726491
233,1611.06,0.26,0.1,390.41,130.56,28.4,0.25,29.57,50.045438089113965
234,1614.75,0.19,0.15,209.8,253.21,51.52,0.45,29.89,95.42072444254065
235,1529.74,0.18,0.04,278.03,77.85,16.87,0.15,30.0,32.664430754950686
236,1579.29,0.15,0.11,215.42,208.21,42.0,0.36,30.44,90.23305201323188
237,1620.39,0.21,0.09,375.21,161.05,32.82,0.28,30.22,62.08350519792055
238,1529.77,0.15,0.08,256.26,119.75,25.09,0.22,30.11,51.93834505565231
239,1633.59,0.16,0.08,242.65,73.19,17.75,0.15,29.97,33.126529863794914
240,1570.69,0.17,0.11,243.64,142.27,30.52,0.26,30.35,67.41964312205451
241,1545.28,0.2,0.09,288.17,91.74,25.05,0.22,31.2,52.03192410438984
242,1607.52,0.27,0.04,367.34,78.95,21.66,0.19,30.13,36.53758622334762
243,1435.96,0.16,0.1,216.87,159.32,32.06,0.28,30.09,61.874412499661474
244,1638.87,0.13,0.08,257.3,167.8,35.41,0.31,29.85,67.55001697943781
245,1568.73,0.19,0.09,241.82,143.41,30.19,0.26,29.43,57.5376072412843
246,1602.09,0.22,0.1,409.7,201.99,41.39,0.36,30.43,91.46753773667055
247,1568.97,0.25,0.13,374.54,175.94,35.73,0.31,30.3,68.5162763368422
248,1457.55,0.19,0.11,291.13,144.23,28.95,0.25,30.17,55.21189674686295
249,1598.87,0.23,0.11,432.13,118.3,32.4,0.28,30.59,70.57217969828699
250,1578.77,0.18,0.1,264.55,160.72,34.03,0.29,30.23,64.44239559591507
251,1629.07,0.21,0.07,334.88,133.97,29.96,0.26,29.81,57.019027091083395
252,1655.84,0.2,0.11,356.93,173.35,34.67,0.3,30.49,71.81473265058553
253,1646.34,0.19,0.13,285.07,186.13,40.94,0.35,29.79,81.676828185045
254,1561.08,0.17,0.09,358.07,135.94,29.04,0.25,29.6,52.93357181703435
255,1654.44,0.17,0.04,301.39,109.54,26.22,0.23,29.68,43.49469178561435
256,1568.46,0.24,0.05,357.22,87.86,18.87,0.16,30.27,38.15331850440339
257,1580.73,0.15,0.09,231.83,158.79,33.31,0.29,29.68,65.86517036578284
258,1577.34,0.18,0.09,328.7,91.19,18.62,0.16,30.0,38.35239928477199
259,1656.55,0.25,0.16,412.28,304.16,60.83,0.53,30.25,126.21085504843316
260,1638.31,0.2,0.11,376.78,64.14,26.36,0.23,29.99,50.49206675337236
261,1549.66,0.19,0.09,332.81,142.48,28.5,0.25,30.4,52.821199971231096
262,1601.05,0.21,0.15,350.51,221.78,44.36,0.38,30.12,98.23132115425574
263,1560.15,0.18,0.09,226.54,109.72,34.34,0.3,29.67,58.56316056535697
264,1540.4,0.15,0.1,215.5,201.49,40.81,0.35,30.44,85.49210702758872
265,1676.07,0.18,0.09,359.68,120.39,24.08,0.21,30.62,50.91577765417087
266,1587.15,0.19,0.08,318.54,108.73,23.74,0.21,30.11,42.42185939950072
267,1562.82,0.18,0.13,235.69,183.31,39.49,0.34,30.35,70.48412741458506
268,1643.81,0.2,0.12,294.15,183.85,39.97,0.35,29.93,91.01834533751494
269,1537.71,0.18,0.08,287.82,124.33,28.2,0.24,30.32,57.433464940983015
270,1595.51,0.21,0.11,281.8,164.02,32.8,0.28,30.31,65.0741257257748
271,1574.59,0.18,0.16,315.09,267.87,53.57,0.46,30.02,102.0481378748448
272,1562.34,0.22,0.11,320.69,230.49,47.18,0.41,30.42,101.06952311664567
273,1629.36,0.16,0.06,240.39,190.68,41.1,0.36,30.47,91.47718260007314
274,1514.71,0.2,0.09,271.35,80.67,21.98,0.19,29.88,42.0770490954495
275,1760.9,0.21,0.1,358.97,107.5,26.57,0.23,29.7,48.68957709222623
276,1538.27,0.22,0.06,342.7,66.81,19.2,0.17,29.74,39.60363104476688
277,1561.14,0.18,0.07,273.57,43.52,25.56,0.22,29.94,46.34318639772134
278,1524.19,0.21,0.1,304.7,180.83,36.78,0.32,30.15,79.77116010261472
279,1533.36,0.21,0.06,306.01,56.62,14.51,0.13,30.04,27.18002649517782
280,1592.2,0.17,0.16,294.57,256.8,51.36,0.44,30.42,110.71458049999373
281,1536.77,0.19,0.1,289.3,171.04,37.34,0.32,29.71,80.29616001222303
282,1718.28,0.23,0.04,482.37,33.85,14.88,0.13,30.15,28.248991808077697
283,1712.57,0.18,0.11,318.05,160.78,39.25,0.34,29.98,87.44803462845492
284,1636.82,0.24,0.09,415.18,77.35,18.81,0.16,30.07,36.918125110969655
285,1558.71,0.18,0.15,311.77,243.4,48.68,0.42,29.9,102.04767516008854
286,1643.76,0.22,0.08,344.0,149.7,32.19,0.28,29.53,66.71529736972819
287,1611.27,0.17,0.14,280.88,239.93,47.99,0.41,29.9,103.55513605755341
